model,f1_macro,f1_micro,precision_macro,recall_macro,hamming_loss,inference_time,train_time
Logistic Regression,0.36567873268566825,0.4571244358478401,0.28716343745061396,0.5606706599049133,0.22213428307611133,0.0219573974609375,2.1974973678588867
SVM,0.3303207445145907,0.5091267883571781,0.3463813582054438,0.32332214390914377,0.13124917557050522,4.129894018173218,14.108635663986206
MLP,0.2540625456355764,0.40422885572139305,0.3784054102167697,0.2033357408588057,0.12636855296135074,0.0016586780548095703,1.2157740592956543
XGBoost,0.23193574429961517,0.3941990771259064,0.38952329128853247,0.17905012040666066,0.1212241129138636,0.03601384162902832,132.8395278453827
Random Forest,0.0622014935191531,0.10329474621549421,0.36859305125558994,0.03491737918573584,0.13283208020050125,0.955211877822876,178.20025753974915
